,pipeline,group,precision,recall,f1,accuracy
99,ss_nb_bwa,g2,0.3011422637590862,0.7493540051679587,0.42962962962962964,0.27358490566037735
100,ss_nb_bwa,g6,0.3011422637590862,0.7493540051679587,0.42962962962962964,0.27358490566037735
101,ss_nb_bwa,g10,0.08915094339622641,0.6511627906976745,0.15683020433564981,0.08508722566122678
102,ss_nb_bwa,g1,0.3011422637590862,0.7493540051679587,0.42962962962962964,0.27358490566037735
103,ss_nb_bwa,g5,0.3011422637590862,0.7493540051679587,0.42962962962962964,0.27358490566037735
104,ss_nb_bwa,g8,0.3011422637590862,0.7493540051679587,0.42962962962962964,0.27358490566037735
105,ss_nb_bwa,g9,0.3011422637590862,0.7493540051679587,0.42962962962962964,0.27358490566037735
106,ss_nb_bwa,g4,0.3011422637590862,0.7493540051679587,0.42962962962962964,0.27358490566037735
107,ss_nb_bwa,g11,0.08915094339622641,0.6511627906976745,0.15683020433564981,0.08508722566122678
108,ss_nb_bwa,g7,0.3011422637590862,0.7493540051679587,0.42962962962962964,0.27358490566037735
109,ss_nb_bwa,g3,0.0925827391720762,0.7493540051679587,0.1648039401401781,0.0898018166804294
110,ss_yb_bowtie,g4,0.4457762557077626,0.6726959517657192,0.5362169584620666,0.36632270168855535
111,ss_yb_bowtie,g5,0.4457762557077626,0.6726959517657192,0.5362169584620666,0.36632270168855535
112,ss_yb_bowtie,g1,0.4457762557077626,0.6726959517657192,0.5362169584620666,0.36632270168855535
113,ss_yb_bowtie,g6,0.4457762557077626,0.6726959517657192,0.5362169584620666,0.36632270168855535
114,ss_yb_bowtie,g10,0.13640048642075395,0.5796726959517657,0.22083675143560294,0.12412393950571744
115,ss_yb_bowtie,g9,0.4457762557077626,0.6726959517657192,0.5362169584620666,0.36632270168855535
116,ss_yb_bowtie,g2,0.4457762557077626,0.6726959517657192,0.5362169584620666,0.36632270168855535
117,ss_yb_bowtie,g7,0.4457762557077626,0.6726959517657192,0.5362169584620666,0.36632270168855535
118,ss_yb_bowtie,g11,0.14145988045643906,0.6726959517657192,0.23376234660281353,0.13235044907642773
119,ss_yb_bowtie,g8,0.4457762557077626,0.6726959517657192,0.5362169584620666,0.36632270168855535
120,ss_yb_bowtie,g3,0.14145988045643906,0.6726959517657192,0.23376234660281353,0.13235044907642773
121,ss_yb_bwa,g9,0.3693771626297578,0.73557278208441,0.49179383818024763,0.3260786559755632
122,ss_yb_bwa,g4,0.3772486772486772,0.6141257536606374,0.46738774172402486,0.30496150556030793
123,ss_yb_bwa,g3,0.10301568154402894,0.73557278208441,0.18072161676013118,0.09933697801558683
124,ss_yb_bwa,g7,0.3692174664937311,0.73557278208441,0.4916522740356937,0.32595419847328244
125,ss_yb_bwa,g11,0.09877202349172451,0.6373815676141258,0.1710389460302785,0.09351699734613926
126,ss_yb_bwa,g10,0.09877202349172451,0.6373815676141258,0.1710389460302785,0.09351699734613926
127,ss_yb_bwa,g6,0.3692174664937311,0.73557278208441,0.4916522740356937,0.32595419847328244
128,ss_yb_bwa,g2,0.3692174664937311,0.73557278208441,0.4916522740356937,0.32595419847328244
129,ss_yb_bwa,g5,0.3692174664937311,0.73557278208441,0.4916522740356937,0.32595419847328244
130,ss_yb_bwa,g1,0.3692174664937311,0.73557278208441,0.4916522740356937,0.32595419847328244
131,ss_yb_bwa,g8,0.3693771626297578,0.73557278208441,0.49179383818024763,0.3260786559755632
